#,Category,Term,Slug,Current Default Source(s),Your Verified Source URL,Your Notes
86,Financing,Paddock / Pen,paddock-pen,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
87,Financing,Pasture / Grazing Land,pasture-grazing-land,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
88,Financing,Payment Frequency,payment-frequency,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
89,Financing,Perc Test (Percolation Test),perc-test-percolation-test,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
90,Financing,Portability (Mortgage),portability-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
91,Financing,Posted Rate,posted-rate,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
92,Financing,Pre-Authorized Payment,pre-authorized-payment,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
93,Financing,Pre-Qualification,pre-qualification,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
94,Financing,Prepayment Penalty,prepayment-penalty,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
95,Financing,Prepayment Privilege,prepayment-privilege,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
96,Financing,Prime Rate,prime-rate,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
97,Financing,Principal Balance,principal-balance,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
98,Financing,Principal Residence Requirement (STRAA),principal-residence-requirement-straa,"Income Tax Act (R.S.C. 1985, c. 1 (5th Supp.)) — https://laws-lois.justice.gc.ca/eng/acts/i-3.3/ | Canada Revenue Agency (CRA) — https://www.canada.ca/en/revenue-agency.html",,
99,Financing,Private Mortgage,private-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
100,Financing,Qualification Rate,qualification-rate,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
101,Financing,Radon Testing,radon-testing,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
102,Financing,Rate Hold,rate-hold,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
103,Financing,REALTOR®,realtor,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
104,Financing,Refinance,refinance,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
105,Financing,Regional Growth Strategy,regional-growth-strategy,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
106,Financing,Reverse Mortgage,reverse-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
107,Financing,Second Mortgage,second-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
108,Financing,Secondary Suite — Legal vs Unauthorized,secondary-suite-legal-vs-unauthorized,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
109,Financing,Secured Line of Credit,secured-line-of-credit,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
110,Financing,Sellers Market vs Buyers Market,sellers-market-vs-buyers-market,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
111,Financing,Shared Equity Mortgage,shared-equity-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
112,Financing,Stress Test,stress-test,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
113,Financing,Switch Mortgage,switch-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
114,Financing,Tenancy Agreement,tenancy-agreement,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
115,Financing,Total Debt Service Ratio,total-debt-service-ratio,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
116,Financing,Trigger Rate,trigger-rate,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
117,Financing,Turnout area,turnout-area,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
118,Financing,Vendor Take Back Mortgage,vendor-take-back-mortgage,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
119,Financing,VOW — Virtual Office Website,vow-virtual-office-website,OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20 | Bank of Canada — https://www.bankofcanada.ca | Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | Canada Deposit Insurance Corporation (CDIC) — https://www.cdic.ca | Financial Consumer Agency of Canada (FCAC) — https://www.canada.ca/en/financial-consumer-agency.html | BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca,,
120,General,EV Charging Requirements (BC),ev-charging-requirements-bc,"BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca | Canadian Real Estate Association (CREA) — REALTOR® Code of Ethics — https://www.crea.ca/about/realtor-code/ | Real Estate Services Act (SBC 2004, c. 42) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04042_01",,
121,General,Foreshore Lease / Crown Foreshore Tenure,foreshore-lease-crown-foreshore-tenure,"BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca | Canadian Real Estate Association (CREA) — REALTOR® Code of Ethics — https://www.crea.ca/about/realtor-code/ | Real Estate Services Act (SBC 2004, c. 42) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04042_01",,
122,General,Private beach access,private-beach-access,"BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca | Canadian Real Estate Association (CREA) — REALTOR® Code of Ethics — https://www.crea.ca/about/realtor-code/ | Real Estate Services Act (SBC 2004, c. 42) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04042_01",,
123,General,Right to Farm,right-to-farm,"BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca | Canadian Real Estate Association (CREA) — REALTOR® Code of Ethics — https://www.crea.ca/about/realtor-code/ | Real Estate Services Act (SBC 2004, c. 42) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04042_01",,
124,General,Well Water Testing,well-water-testing,"BC Financial Services Authority (BCFSA) — https://www.bcfsa.ca | Canadian Real Estate Association (CREA) — REALTOR® Code of Ethics — https://www.crea.ca/about/realtor-code/ | Real Estate Services Act (SBC 2004, c. 42) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/04042_01",,
125,Insurance,2-5-10 Home Warranty,2-5-10-home-warranty,"Homeowner Protection Act (SBC 1998, c. 31) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/98031_01 | BC Housing — Licensing & Consumer Services — https://www.bchousing.org/licensing-consumer-services",,
126,Insurance,Aluminum Wiring,aluminum-wiring,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
127,Insurance,Builder's Risk Insurance,builder-s-risk-insurance,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
128,Insurance,CMHC Mortgage Default Insurance,cmhc-mortgage-default-insurance,Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20,,
129,Insurance,Commitment Letter,commitment-letter,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
130,Insurance,Conventional Mortgage,conventional-mortgage,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
131,Insurance,Credit Score for Mortgage,credit-score-for-mortgage,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
132,Insurance,Encroachment,encroachment,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
133,Insurance,Errors & Omissions Insurance (E&O),errors-omissions-insurance-e-o,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
134,Insurance,Float Home / Houseboat,float-home-houseboat,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
135,Insurance,Flood Insurance,flood-insurance,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
136,Insurance,High-Ratio Mortgage,high-ratio-mortgage,Canada Mortgage and Housing Corporation (CMHC) — https://www.cmhc-schl.gc.ca | OSFI Guideline B-20 — Residential Mortgage Underwriting Practices and Procedures — https://www.osfi-bsif.gc.ca/en/guidance/guidance-library/residential-mortgage-underwriting-practices-procedures-guideline-b-20,,
137,Insurance,Home Insurance,home-insurance,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
138,Insurance,Insured Mortgage,insured-mortgage,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
139,Insurance,Kitec Plumbing,kitec-plumbing,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
140,Insurance,Knob and Tube Wiring,knob-and-tube-wiring,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
141,Insurance,Liability Coverage,liability-coverage,"Insurance Act (RSBC 2012, c. 1) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/12001_01 | Financial Institutions Act (RSBC 1996, c. 141) — https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96141_01 | Insurance Council of British Columbia — https://www.insurancecouncilofbc.com | Insurance Bureau of Canada (IBC) — https://www.ibc.ca",,
